BWBWGYGYOOOORRRRWGWGYBYB, R'
BOBORGRGYYWWWWYYOGBRGORB, B
OROWRYGOWWOGBYRYBRWGYBGB, R'
OYOORRGWWWOGYRYBBBWBYRGG, R
YBGBBRWGOWGWYYBROROWRYGO, L'
BBWBYRGGWGWOYYBRRRGWOYOO, L
OBGWBYGGWROROYBRWBWRYYGO, U'
OBYBWGGGWBOORYRRRWBWYYGO, D
YROBRRWOBWOGYGBGBRWWGYOY, U'
OWOBRRRYGWGGYOBBBRWWYOYG, D
OOBBRRGGBROGOGBRYYWWYYWW, B
BGBWRYGBYYOGBWRWORWGYORO, R'
BYBBRGGWYYOGWRWBOOWOYRRG, R
YOROORWGOYGYWWBRBGBWRYGB, L'
OOWOYRRGYGYOWWBRRGGWBYBB, L
BOGYBWGGYRORBWORWOWGYYRB, U'
BOWBYGGGYOOBRWRRGWOWYYRB, U
WRBORRYOOYBGWGBGOGWWRYBY, U'
OYBORRRWGYGGWBBOOGWWYBYR, D
BORGOBGROBOBRGRGWYWYYWYW, R
YWYWWYWYOOBBGGRRBORGOBGR, R'
BWBBRGGYOOOYRGWRWWGOYBYR, U'
BWGRBBGYOWORYGOROGWWYBYR, U
GRRWOYOOWBBBGYRGWOWGYYRB, D'
OORWOYRGGBYBGBRWWOWGBRYY, U
BWRWGOYYOBBYGGWGWOOBRRYR, F'
BWRWYYOGOBWGGGBYWORRBOYR, F
RBWWOYGYWOOBRYRRGGWGYBBO, B'
WWBROYGYRYOBWORROBWGYBGG, B
WYWYYWYWBBOORRGGOBGRBORG, R
BYBBGRGWOOOWRRYGWWRBYOYG, D'
BYRGBBGWOYORWROGBRWWYOYG, U
RGRYOWOOYBBBRWGGWBWRYYGO, D'
OORYOWGRGBWBRBGYWBWROGYY, U
BYRYGOWWOBOYRRWRWBOBGGYG, F'
BYRYWWOGOBWRRROYWBGGBOYG, F
RBYYOWGWWBOBGYGGRRWRYOBO, B'
YYBROWGWGYOBWBGGOBWRYORR, B
OBGRBORGBOBOGRGRYWYWWYWY, L
YBBOGGWGOWBOYRRRRBWWOYGY, U'
YBGGOBWGORBYORWRWWBROYGY, U
RRYRWOOBBOYBGGGWBWRWGOYY, D'
BOYRWORRWOGBGYGBBWRWYYOG, U
YBYRWWGOOOYOGRRWBWBBRGGY, F'
YBYROGWWOORWGRYOBWGRBBGY, F
YYRBWOWGBWBBYGGRGRRWOYOO, B'
BRYYWOWGYGBBBWGROORWOYRG, B
WBOBGGYGBYOOWRRRGOWWBYRY, U'
WBGGBOYGBROWORYRWWOGBYRY, U
RRWRYOBOBBWOGGGYOWGWRBYY, D'
OBWRYORRYBGOGWGBOWGWYYBR, U
WBWRYYGOBBYBGRGWOWOORGRY, F'
WBWROGYYBBGWGRYBOWGROORY, F
WWRBYOYGOWOOYRGRGRGWBYBB, B'
BRWWYOYGYROOOWGRBBGWBYRG, B
RWRWOYOYBBBBGGGGWOWOYRYR, U
RYRYOWOWBBBBGGGGWRWRYOYO, R
YRYRWOWOBBBBGGGGRWRWOYOY, D'
WRWRYOYOBBBBGGGGOWOWRYRY, L
GGRROOBBRBRBGOGOWWWWYYYY, D'
OWRWOYRYGBGBGGBBWOWRYOYR, R'
OYRYOWRWGBGBBBGGWOWRYOYR, R
YOYRWOWRGGBBGBGBOWRWOYRY, L'
WOWRYOYRBBGGGBGBOWRWOYRY, L
OORRROROGBYYGBWWWWGBBGYY, F'
OORRORORGBWWGBYYWWGBBGYY, F
ROROOORRWWGBYYGBGBWWYYBG, B'
OROROORRYYGBWWGBGBWWYYBG, B
BWRBGGGYOBYYWGWRWOOORBYR, R'
BGRYGWGBOBYYRWGWWBORROYO, R
RBYRWOOOYOYBGRWWBWRBGGGY, L'
WBORROYOBYOYGRWWGWGBBGRY, L
BBYBWGGOOGYORRRWOWBWRGYY, U'
BBGWBYGOORYRORGWWBWORGYY, U
RWRRGOOYBBBYGOWGWWOBYRYG, D'
YORRGOWRGBOYGBWBWWOBGYRY, U
BBRRGGOOOBGRGROBWWYYWWYY, F
RBRBGOGOWWYYYYWWGROBRGBO, F'
BRBRGOGOYYYYWWWWOBOBRGRG, F'
BWRROOOYOBWWYGYRWGGGBBYR, R'
BORYOWOROBWWRYGYWBGRBGYG, R
BBYRWGGGWOWBGRYYBWRROOOY, L'
WBGRBGYGBWOWGRYYOWORBORY, L
BBWBYGOGOOWGRRRYGWRWBOYY, U'
BBGYBWOGORWRGROYWRWGBOYY, U
RYRROGOWBBBWGGYOWWGRYBYO, D'
WORROGYROBGWGBYBWWGROYBY, U
RBRBOGOGWWWWYYYYGRGRBOBO, L
BRBROGOGYYWWWWYYOBGRBORG, F
RRRWOYGOWWOBGYRYGOWGYBBB, R'
RYROORGWWWOBYRYGGBWBYOBG, R
YBBBGOWGOWBWYYGRRRRWOYGO, L'
GBWBYOBGWBWOYYGRORGWRYRO, L
RBBWGYGGWOOORYBRWGWRYYBO, U'
RBYGWBGGWBOROYORRWGWYYBO, U
YRRBOOWOBWRBYGGGGRWWBYOY, D'
OWRBOORYGWGBYRGBGRWWYOYB, U
RRBBOOGGGROBOBGRYYWWYYWW, B'
BBBWOYGGYYOBGWRWOOWGYRRR, R'
BYBGOBGWYYOBWRWGORWRYORG, R
YRRROOWGOYBYWWGRBBBWOYGG, L'
ORWRYORGYBYOWWGROBGWBYBG, L
BRBYGWGGYOOOBWRRWOWBYYRG, D'
BRWGYBGGYROBOWORBWOWYYRG, U
WRBROOYORYBBWGGGOBWWRYGY, D'
OYBROORWGYGBWBGROBWWYGYR, U
RGBOGROBBOBOGRGRWYWYYWYW, R
YWYWWYWYBBOORRGGRGBOGROB, R'
RWRGOOOYBWBBYRGGGOWWYRYB, U
RGBWGYBBWORORYGOWGWOYYBR, D'
RWBWOGYYBORYRRWOWGBOGGYB, F'
RWBWYYGOBOWORRRYWGGGOBYB, F
BRWWGYOYWGBOBYGGRRWOYROB, B'
WWRBGYOYBYBOWGGGBOWOYRRR, B
WYWYYWYWOOBBGGRRGROBRGBO, R
RYGROOOWBYBBWGGRRBWWYGYO, U
GRBYGWBBYOROGWROWRWBYYOG, D'
RYBYOGWWBOGYGGWBWRBORRYO, F'
RYBYWWGOBOWBGGGYWRRROBYO, F
BRYYGWOWWRBOOYRRGGWBYGOB, B'
YYRBGWOWOYBOWRRRBOWBYGGG, B
GROBRGBOOBOBRGRGYWYWWYWY, L
YRRRBOWOBBOYGGWGWWRBGYOY, U
GGYBWGBORBYORORWRWBWOGYY, D'
YRYBWWOGBBYGRGBWRWOOGROY, F'
YRYBGOWWBBBWRGYGRWRGOOOY, F
YYBRWGWORWOOYORGRGBWGYBB, B'
RBYYWGWOYOOORWRGBBBWGYGR, B
WRRROBYOOBBWGGYGWWGORYBY, U
GGWBYGOBROWBRORYGWOWBRYY, D'
WRWBYYOGOOYRRGOWGWBBGRBY, F'
WRWBGOYYOOOWRGYRGWRGBBBY, F
WWBRYGYOGWBBYBRGRGOWRYOO, B'
RBWWYGYOYBBBGWRGOOOWRYGR, B
GWBWGYBYRORORROOWGWBYGYB, R'
GYBYGWBWROROOORRWGWBYGYB, R
YGYBWGWBRROOROROGWBWGYBY, L'
WGWBYGYBOORRROROGWBWGYBY, L
GGBBBGBGROYYROWWWWROORYY, F'
GGBBGBGBROWWROYYWWROORYY, F
BGBGGGBBWWROYYROROWWYYOR, B'
GBGBGGBBYYROWWROROWWYYOR, B
RWBOOROYBOYYWRWGWGBGGRYB, R'
RRBYOWOOBOYYGWRWWRBBGGYG, R
GRYBWGBGYBYORGWWRWBOOROY, L'
WRBBGGYGOYBYRGWWOWOORRBY, L
RRRWOYOGBBYBGGOWWOWBGRYY, U
GWBBOGBYRORYRGWOWWBOYGYR, D'
RRBBOOGGBORGRGBOWWYYWWYY, F
BRBROGOGWWYYYYWWRGBOGROB, F'
RBRBOGOGYYYYWWWWBOBOGRGR, F'
RWBGGBGYBOWWYRYGWOROORYB, R'
RBBYGWGGBOWWGYRYWRRBOOYO, R
ORYBWOROWBWORGYYRWBGGBGY, L'
WRRBOOYOOWBWRGYYGWGGRBBY, L
RRRYOWGOBBWBOGGYWGWROBYY, U
GYBBGOBWRORWROYGWWRGYOYB, D'
BRBRGOGOWWWWYYYYRGRGOBOB, R'
RBRBGOGOYYWWWWYYBORGOBGR, B
BGBWGYOBWWBORYGYRGWOYROR, R'
BYBBGGOWWWBOYGYRRRWRYGOO, R
YRORRGWOBWOWYYRGBGBWGYOB, L'
RRWRYGOOWOWBYYRGGGOWBYBB, L
BRYRWOOOWRBBGYGGGWRWYYOB, U
YGBRGGWBRWBOYORORGWWOYBY, D'
BBRRGGOORGBOBORGYYWWYYWW, B
RORWGYORYYBORWGWBGWOYBGB, R'
RYRRGOOWYYBOWGWRBBWBYGGO, R
YBGBBGWOBYOYWWRGRORWGYOR, L'
BBWBYGGOYOYBWWRGGOOWRYRR, L
RBWRYOOOYBBRGWGGOWBWYYGR, U
WGRBGGYBBYROWOROBOWWGYRY, D'
OGBRGORBGOGOBRBRWYWYYWYW, R
YWYWWYWYGGOORRBBOGBRGORB, R'
OWOOBRRYGGGYBRWBWWRGYOYB, U'
GGBWGYBRROYOROBWWGWROBYY, D
OWBWRGYYGOOYRRWRWGGOBBYB, F'
OWBWYYGRGOWRRROYWGBBOGYB, F
BOWWGYRYWGGOBYBBRRWRYOOG, B'
WWOBGYRYBYGOWGBBGOWRYORR, B
WYWYYWYWOOGGBBRRGORBOGBR, R
OYOORBRWGGGWBBYRWWBOYGYR, U'
GGBYGWRBROWOBORYWOWBGRYY, D
OYBYRGWWGOGYBBWBWOGORRYR, F'
OYBYWWGRGOWBBBGYWORROGYR, F
BOYYGWRWWOGORYRRBBWBYGOG, B'
YYOBGWRWRYGOWORRGOWBYGBB, B
GORBOGBROGOGRBRBYWYWWYWY, L
YOOGRRWRGWOGYBBBBOWWGYRY, U'
OGYBWGBBWGRORYROOWBWYYGR, D
YOYBWWRGGGYGRBBWOWOOBRRY, F'
YOYBGRWWGGBWRBYGOWRBOORY, F
YYBOWGWROWOOYRRBRBBWGYGG, B'
OBYYWGWRYROOOWRBGGBWGYBR, B
WOGORRYROYGGWBBBRGWWOYBY, U'
GOWBYGBBYORGRWROGWRWYYOB, D
WOWBYYRGOOYORBRWGWGGBRBY, F'
WOWBGRYYOORWRBYOGWRBGGBY, F
WWBOYGYRGWGGYBRBRBRWOYOO, B'
OBWWYGYRYBGGGWRBOORWOYBR, B
OWBORRRYGOYYWRWBWGGGBOYB, R'
ORBYRWROGOYYBWRWWOGBBGYG, R
BOYBWGGGYGYORBWWOWBORRRY, L'
WOGBBGYGOYGYRBWWRWROORBY, L
OOYOWRRGGRYGBBBWGWOWBRYY, U'
YGBBRGWBROGYROWOWWGORYBY, D
OOBBRRGGGORBRBGOWWYYWWYY, F
BOBORGRGWWYYYYWWRBGOBROG, F'
OBOBRGRGYYYYWWWWGOGOBRBR, F'
OWBBGGGYGOWWYRYBWRRROOYB, R'
OGBYGWGBGOWWBYRYWORBORYR, R
OOYBWRRRWGWORBYYOWBBGGGY, L'
WORBORYROWGWRBYYGWGBOGBY, L
OOWOYRGRGGWRBBBYRWBWOGYY, U'
WGBBGRYBGORWROYOWWRBGYOY, D
BOBOGRGRWWWWYYYYRBRBOGOG, R
OBOBGRGRYYWWWWYYGORBOGBR, F
BBBWGYRGWWGORYBYRGWRYOOO, R'
BYBGGBRWWWGOYBYRROWOYGOR, R
YOOORGWRGWOWYYRBBBBWGYRG, L'
ROWOYGORWOWGYYRBGBRWBYBG, L
BOOWRYRRWGGGBYOBWRWBYYOG, U'
GWBOGGBYRWROYBRORBWWYGYO, D
BBOOGGRRRBGOGORBYYWWYYWW, B'
OOOWGYRRYYGORWBWGGWRYBBB, R'
OYORGORWYYGOWBWRGBWBYGBR, R
YBBBGGWRGYOYWWRBOOOWGYRR, L'
GBWBYGBRYOYGWWRBGORWOYOR, L
OBOYRWRRYGGGOWBBWGWOYYBR, U'
GYOBGGBWRYROWORBGOWWYRYB, D
BGBGGBGBOOYYWWRRWROYRWYO, R
RWYOWROYYOYOWRWRBGBGGBGB, R'
BWYOWWGYOGYRBROROWGGRBYB, U'
BWWWOYGYOOYBRRGRGGWORBYB, U
RRBOGROYWOBYWYWGWGOGYRBB, D'
YOBOGRRRGOYYWBWWWGOGBBRY, D
BWBOGGYROOBRWROGWGYYRWYB, F'
BWBORYGGOOOGWRBRWGWRYYYB, F
BBOWGRGYWGYYBYWRWROGRBOO, B'
WOBBGRGYBYYYWGWROOOGRBRW, B
WROYRWYOOYOYRWRWGBGBBGBG, L
BRYORRGOOGYWBWYWOWBBRGYG, U'
BRRROYGOOYYBWWGWBBWORGYG, U
WWBYGWOYROBYRORGWBOBYRGG, D'
YOBYGWWWGOOYRBRRWBOBGGRY, D
BRBYGGOWOOGRRWOBWBYYWRYG, F'
BRBYWOGGOOOBRWGRWBRWYYYG, F
BBYRGWGOWBYYGYRWRWOBRGOO, B'
RYBBGWGOGYYYWBRWOOOBRGWR, B
GBGBBGBGYYOORRWWRWYOWROY, L
RBOOWROGYWYGYRBWBBOWGRGY, U'
RBRWOOOGYBYYGRWWWOBBGRGY, U
RWYBWGYYBORORGWOBWBOGGYR, D'
YYYBWGWROOGORRWBBWBORYGG, D
RBYBOWGGYORGRRBOBWYOWWGY, F'
RBYBGGWOYOBORRRGBWWWOYGY, F
YRBBWGOGBWYOYGWWRRBOGROY, F'
BBRYWGOGYGYOBWWWYOBOGRRR, B
WBYYWRYGOROGORBWGGOWBRBY, U'
WBRWYYYGOBOOGRRWWOGGBRBY, U
RWOBRGOOBYWYRGWYGWGOBBYR, D'
OOOBRGWRYYGYRWWBGWGORYBB, D
WBOBYRGGOYRBRRGOGWOYWWBY, F'
WBOBGGRYOYGORRRBGWWWYOBY, F
OWBBRGYGGWOYYBWWRRGOBRYO, F'
BBWORGYGYBOYGWWWOYGOBRRR, B
BWYWWRGYOGYGBBWROROGRBYO, R'
BRYYWWGWOGYGRWBBOBOORRYG, R
RBYOOROGYOGGBRBWBWYWWRGY, L'
OBOORRYGGGOYBRBWWWGWBRYY, L
BBGGBBGGOWYRYROWOOWWRRYY, U'
RWYOWROYBGBGBGBGOWOWYRYR, D'
BBYOGWGROGRRBROWOWYGWBYY, F'
BBYORGWGOGOWBRRROWBWGYYY, F
YBOBWRGGOWYGYYBWBROWRRGO, F'
BOBYWRGGYYYGOWBWOGOWRRRB, B
BOROORGYOBYBGGWRWYWGRBYW, R'
BRRYOOGOOBYBRWGGWBWWRYYG, R
RBYWWYWGYOBBGRGWBOROORGY, L'
WBWWRYYGBBOYGRGWOOGOBRRY, L
YORWOYWRGBGBGBGBWOWORYRY, U
BBRWGOGYOBRRGRWOWOYBWGYY, F'
BBRWYGOGOBWOGRRRWOGWBYYY, F
RBWBOYGGWOYBYYGWGRWORRBO, F'
BWBROYGGYYYBWOGWOBWORRRG, B
RWBOGRORBOBYWRGGWGOYYWYB, R'
RRBRGWOOBOBYGGRWWWOBYGYY, R
YWYBWGOYBBYORGWGRWBOGROR, L'
WWOBYGYYOYBBRGWGGWOORRBR, L
GGBBGGBBWORYRYWOWWOOYYRR, D
RWBBOGYGBORYRGOOWWBYGWYR, F'
RWBBGYGOBOOORGRYWWWGYBYR, B
BRBWGGOYWWBYRYWGRGOOYROB, B'
WBRBGGOYRYBYWWWGBOOOYRGR, B
YWBOGYWYGOGYWRBBWGORRORB, R'
YYBYGWWOGOGYBBRWWOOBRGRR, R
RORBWGORGGYORBWBYWBOGYWY, L'
WOOBRGRROYGGRBWBGWWOYYBY, L
YOBBWGRGGOYRRBOOWWGYBWRY, F'
YOBBGRGWGOOORBYRWWWBYGRY, F
BYBOGGWRWWGYYRWBRBOORYOG, B'
OBYBGGWRYRGYWWWBGOOORYBR, B
BWBYGWGYOORRORORWGYGWBYB, R'
BWBYGWGYOORRROROWBYBWGYG, R
WBYBWGYGRORORROOBWBYGWGY, L'
WBYBWGYGORORRROOGWGYBWBY, L
BBROORGGOGRGBRBOYWYWWWYY, U'
BBROORGGOBRBGRGOWYWYWWYY, U
ROBBGGORBOBRRGOGWWYYYWYW, D'
ROBBGGORGOGRRBOBWWYYWYWY, D
BBBBGGGGWWRRYYOORRYYWWOO, F
BBBBGGGGYYRRWWOOOOYYWWRR, F'
BRBOGRGOWWYYWYWYRGOGRBOB, R'
BRBOGRGOWWYYYWYWRBOBRGOG, R
RBOBRGOGYWYWYYWWBRBOGRGO, L'
RBOBRGOGWYWYYYWWGRGOBRBO, L
BBYWWYGGWGYGBYBWORORRROO, U'
BBYWWYGGWBYBGYGWRORORROO, U
YWBBGGWYBWBYYGWGRROOOROR, D'
YWBBGGWYGWGYYBWBRROORORO, D
BBBBGGGGRRYYOOWWYYOORRWW, B'
BGBGGBGBOOWWYYRRWORYOWYR, R
OWYRWORYWOWOYRYRBGBGGBGB, R'
BWWOYYGYOGWOBRRRRWGGOBYB, U'
BWYYOWGYORWBORGRGGWROBYB, U
RRBRGOOWWOBWYYYGWGRGYOBB, D'
WOBRGORRGOYWYBYWWGRGBBOY, D
BWBRGGYOOOBOYRRGWGWWRYYB, B'
BWBROYGGOORGYRBOWGYRWWYB, F
BBRWGOGYWGWWBYYRYRRGOBOO, B'
WRBBGOGYBYWWWGYROORGOBRY, B
WORYOWYROWOWRYRYGBGBBGBG, R
BOWORRGROGWWBYYYRWBBOGYG, U'
BORROWGROYWBWYGYBBWROGYG, U
YYBYGWOWOOBWRRRGWBRBYOGG, D'
WOBYGWYYGORWRBROWBRBGGOY, D
BOBYGGRWOOGORYRBWBWWYRYG, B'
BOBYWRGGOORBRYGOWBRYWWYG, F
BBYOGWGRWBWWGYRYRYRBOGOO, B'
OYBBGWGRGYWWWBRYOORBOGYR, B
GBGBBGBGWWOORRYYOWYRWORY, L
OBOOYRRGWWWGYRBYBBRWGOGY, U'
OBRYOORGWBWYGRWYWRBBGOGY, U
RYYBWGWWBOOORGYRBWBRGGYO, D'
WWYBWGYRROGOROYBBWBROYGG, D
OBYBRWGGWOOGRRBRBWWOYYGY, F'
OBYBGGWRWOBRRROGBWYYOWGY, F
YOBBWGRGBWWOYGYYRRBRGOOW, B'
BBOYWGRGYGWOBWYYWOBRGORR, F
WBWWYRYGOOOGRRBYGGRWBOBY, U'
WBRYWWYGOBORGROYWRGGBOBY, U
RYRBOGOOBWWWRGYYGWGRBBYO, D'
OORBOGYRYWGWRWYBGWGROYBB, D
WBRBYOGGOWOBRRGRGWOWYYBY, F'
WBRBGGOYOWGRRROBGWYYWOBY, F
RWBBOGYGGWOWYBYYRRGRBOWO, B'
BBWROGYGYBOWGWYYOWGRBORR, F
BWWWYOGYOGWGBBYRRRRGOBYO, R'
BOWYYWGWOGWGRYBBRBROORYG, R
OBYORRRGWOGGBRBYBWWWYOGY, L'
RBROORYGGGOWBRBYYWGWBOWY, L
BBGGBBGGOYWRWROYRRWWOOYY, U
RYWOYROWBGBGBGBGRWRWYOYO, U'
BBWOGYGROGOOBRRWRWWGYBYY, F'
BBWORGYGOGRWBROORWBYGWYY, F
WBOBYRGGRWWGYYBYBRRWOOGO, B'
BOBWYRGGYYWGRWBYOGRWOORB, F
BRRROOGYOBWBGGYRWWWGOBYY, R'
BORYORGROBWBRYGGWBWYOWYG, R
OBYYWWWGWOBBGRGYBRRROOGY, L'
WBWYOWYGBBOWGRGYORGRBORY, L
WORYOWYRGBGBGBGBWRWROYOY, D
BBRYGOGWOBOOGRWRWRWBYGYY, F'
BBRYWGOGOBWRGROOWRGYBWYY, F
RBYBOWGGWRWBYYGYGRWROOBO, B'
BYBROWGGYYWBWRGYOBWROORG, F
RWBRGOOOBOBWYRGGWGRWYYYB, R'
ROBOGWORBOBWGGRYWYRBYGYW, R
YYYBWGRWBBWORGYGRWBRGOOO, L'
WYRBYGYWOWBBRGYGGWORROBO, L
GGBBGGBBYORWRWYOWWRRYYOO, D'
RYBBOGWGBOOYRGRRWWBWGYYO, F'
RYBBGWGOBORRRGOYWWYGWBYO, F
BRBYGGOWWWBWOYYGRGRRYOOB, B'
YBRBGGOWOYBWWWYGBORRYOGR, B
WWBRGYYYGOGWYRBBWGRROOOB, R'
WYBYGWYRGOGWBBRYWORBOGOR, R
OOOBWGRRGGWORBYBWWBRGYYY, L'
WORBOGOROWGGRBYBGWYRWYBY, L
WOBBYGRGGOYORBRRWWGWBYOY, B'
WOBBGRGYGORRRBYOWWYBWGOY, F
BWBOGGYRWWGWYOYBRBRROYOG, B'
OBWBGGYRYOGWWWYBGORROYBR, B
BBBBGGGGRRWWOOYYYYRROOWW, B
BOBRGOGRYYWWYWYWOGRGOBRB, R'
BOBRGOGRYYWWWYWYOBRBOGRG, R
OBRBOGRGWYWYWWYYBOBRGOGR, L'
OBRBOGRGYWYWWWYYGOGRBOBR, L
BBWYYWGGYGWGBWBYROROOORR, U'
BBWYYWGGYBWBGWGYOROROORR, U
WYBBGGYWBYBWWGYGOORRRORO, D'
WYBBGGYWGYGWWBYBOORROROR, D
BGBGGBGBWWOORRYYRYWOYROW, R
YROWRYWOOWOWRYRYBGBGGBGB, R'
BROWRRGOWGOYBYWYWRGGYBOB, U'
BRRRWOGOWWOBYYGYGGRWYBOB, U
YYBWGYWORWBORORGRGWGOYBB, D'
OWBWGYYYGWOORBRRRGWGBBYO, D
BRBWYOGGWWWGRYBYRGRYOOOB, F
BBWRGYGORGOOBORYRYWGYBWW, B'
RYWOYROWWOWOYRYRGBGBBGBG, R
BYOWYYGWWGORBRORWRBBYGOG, U'
BYYYWOGWWOOBRRGRBBRWYGOG, U
RRBOGRWOYWBOYWYGRBWBOYGG, D'
OWBOGRRRGWWOYBYYRBWBGGYO, D
BYBORWGGWWWBYRGYRBYROOOG, F
BBOYGRGWRBOOGOYRYRWBYGWW, B'
GBGBBGBGOOWWYYRRYROWRYWO, L
YBWWRYWGOROGOYBRBBWRGYGO, U'
YBYRWWWGOBOOGYRRRWBBGYGO, U
YROBRGOOBWYWYGRWBRBWGGOY, D'
OOOBRGRYWWGWYYRBBRBWYOGG, D
YBOBGGRWOWBWYYYGBRRRWOGO, F
OYBBRGWGBROWOGRRYYBWGYWO, B'
RBOORYOGWYWGWYBRGGWRBYBO, U'
RBYROOOGWBWWGYYRRWGGBYBO, U
YRWBYGWWBOROYGROGRGWBBOY, D'
WWWBYGRYOOGOYRRBGRGWYOBB, D
RBWBGGYOWOGWYYYBGRRROWBO, F
WRBBYGOGGRWOOBRRYYGWBYOW, B'
BRORRYGOWGOGBBRYWYWGYBOW, R'
BYOORRGRWGOGYRBBWBWWYYOG, R
YBOWWYWGOWGGBYBRBRORRYGO, L'
WBWWYYOGGGWOBYBRRRGRBYOO, L
BBGGBBGGWROYOYWRWWRRYYOO, U'
YROWRYWOBGBGBGBGWRWROYOY, D'
BBOWYGRGWGWRBYYYWRBRGOOO, F
OBWBRYGGWROGOOBRBYWRYYGW, B'
BWYWWYGOWBOBGGRYRORGYBOR, R'
BYYOWWGWWBOBYRGGRBRRYOOG, R
YBORRORGOWBBGYGRBWYWWYGO, L'
RBRRYOOGBBWOGYGRWWGWBYYO, L
OWYRWORYGBGBGBGBRWRWYOYO, U
BBYROGWGWBRWGYYYRWGRBOOO, F
YBRBWOGGRWOBOOGRGYRWYYBW, B'
YRBWGYWYBWBORYGGRGWOOROB, R'
YYBYGRWWBWBOGGYRRRWBOGOO, R
OROBRGWOBBOWYGRGYRBWGYWY, L'
RRWBOGOOWOBBYGRGGRWWYYBY, L
GGBBGGBBRWYOYORWRRWWOOYY, D
YRBBGOGWBWWWYGYORRRGOBOY, F
BYBRGGWORRBOYORGYGWWOYWB, B'
ORBWGOROGWGORYBBRGWYYWYB, R'
OOBOGRRWGWGOBBYRRWWBYGYY, R
YWYBRGWYGGOWYBRBORBWGORO, L'
RWWBYGYYWOGGYBRBGRRWOOBO, L
OWBBGYGRGWWWYBOYRRRBOGYO, F
BOBWGGRYRRGOOYRBYBWWYOWG, B'
BYBWGYGWRROOROROYGWGYBWB, R'
BYBWGYGWRROOORORYBWBYGWG, R
YBWBYGWGOROROORRBYBWGYGW, L'
YBWBYGWGROROOORRGYGWBYBW, L
BBORROGGRGOGBOBRWYWYYYWW, U'
BBORROGGRBOBGOGRYWYWYYWW, U
ORBBGGROBRBOOGRGYYWWWYWY, D'
ORBBGGROGRGOOBRBYYWWYWYW, D
BGBGGBGBYYOORRWWOYWRYORW, R
YORWOYWROYOYRWRWBGBGGBGB, R'
BOOYRRGRYGOYBWWWWOGGYBRB, U'
BORRYOGRYWOBYWGWGGOWYBRB, U
WWBWGYYOOYBORRRGOGWGRYBB, D'
OYBWGYWWGYRORBROOGWGBBYR, D
BOBWGGRYYYBYRWWGOGOOWRRB, F'
OWBBGYGRBROOOGRWYYWGYBWR, B
OYWRYORWYOYOWRWRGBGBBGBG, R
BYOYWWGWYGOOBRRRWOBBYGRG, U'
BYWWYOGWYROBORGRBBOWYGRG, U
RRBRGOYOYYBOWWWGOBWBRYGG, D'
OYBRGORRGYWOWBWYOBWBGGYR, D
BYBRGGWOYYGYWRWBOBOORWRG, F'
YRBBGOGWGROOOBWRYYWBYGRW, B
GBGBBGBGOOYYWWRRYORWOYWR, L
YBYYRWWGOOOGRWBRBBWOGYGR, U'
YBWRYYWGOBORGWOROWBBGYGR, U
WRRBOGOOBYYYWGRWBOBWGGRY, D'
OORBOGRWWYGYWYRBBOBWYRGG, D
YBRBWOGGOYYGWWBWBOOYRRGR, F'
BBYROGWGRGOYBORROYBWGYWW, B
OBOORWRGYYYGWWBRGGWOBYBR, U'
OBWROORGYBYWGWYROWGGBYBR, U
WRWBYGYYBOOOWGRRGOGWBBRY, D'
YYWBYGRWROGOWORBGOGWYRBB, D
OBWBRYGGYOYBWWGWGOYORRBR, F'
BBOWYGRGRBYOGORRYOGWBYWW, B
BOOORYGRYGOGBBRWWWWGYBRY, R'
BYORROGOYGOGWRBBWBWYYWRG, R
YBRYWWWGOYGGBWBRBOOORYGR, L'
WBWYYWRGGGYOBWBRROGOBYOR, L
BBGGBBGGYROWOWYRWWOOYYRR, U
WROYRWYOBGBGBGBGWOWORYRY, U'
BBOYGRGWYGYYBWWOWOOGRBRR, F'
BYBORWGGRROGWOBRYGWOYYWB, B
BWWWYYGRYBOBGGRWOOOGYBRR, R'
BYWRYWGWYBOBWRGGOBORYORG, R
YBRROOOGOYBBGWGRBWWWYYGR, L'
OBORYORGBBYOGWGRYWGWBYWR, L
OYWRYORWGBGBGBGBOWOWYRYR, D
BBWRGYGOYBYYGWOWOWOBRGRR, F'
BRBWYOGGRROBOWGRYBOWYYWG, B
WOBWGYYYBYBORWGGOGWORRRB, R'
WYBYGOYWBYBOGGWRORWBRGRO, R
RRRBOGWOBBOYWGRGWOBWGYYY, L'
ORWBRGROYOBBWGRGGOYWWYBY, L
GGBBGGBBRYWOWORYOOWWRRYY, D'
WRBBYGOGBYYRWGWWOOBOGRRY, F'
RBWBGGYOYRBOOORGBYWWRYGW, B
OOBWGRRRGYGORWBBOGWWYYYB, R'
ORBRGORWGYGOBBWROYWBYGYW, R
YYYBOGWWGGOYWBRBOOBWGRRR, L'
OYWBYGYWYOGGWBRBGORWORBR, L
OYBBRGWGGYRYWBWWOOGOBRYR, F'
YBOBGGRWRYGOOORBGYWWYRBW, B
